Data Source,,,,,,
,,,,,,
Last Updated Date,,,,,,
,,,,,,
,Population,100*Trade/GDP,100-C,2017,,
Aruba,105366,71.6322427344178,28.3677572655822,3056424581.00559,,
Afghanistan,36296400,39.4044611349057,60.5955388650943,20191760000.0587,,
Angola,29816748,23.2527213968366,76.7472786031634,122123822333.591,,
Albania,2873457,46.6244505699365,53.3755494300635,13019693450.8816,,
,,,,3000180750.11297,,
Arab World,411898967,41.6060532675785,58.3939467324215,2513494434830.3,,
United Arab Emirates,9487203,75.4094120296224,24.5905879703776,385605506854.881,,
Argentina,44044811,13.9806106427674,86.0193893572326,642695864756.35,,
Armenia,2944809,49.5006382701548,50.4993617298452,11527458565.7334,,
American Samoa,55620,102.325581395349,-2.325581395349,602000000,,
,,,,1467977777.77778,,
Australia,24601860,20.5767999696081,79.4232000303919,1330135756844.41,,
Austria,8797566,50.7355052962123,49.2644947037877,418316161095.683,,
Azerbaijan,9854033,41.8544509495606,58.1455490504394,40865558912.3867,,
Burundi,10827024,26.9515346026704,73.0484653973296,3172292379.36329,,
Belgium,11375158,80.9918274558556,19.0081725441444,503788776542.824,,
Benin,11175204,34.2710021762586,65.7289978237414,12701656930.6889,,
Burkina Faso,19193284,32.6703300613532,67.3296699386468,14169905602.3981,,
Bangladesh,159670593,20.2678904112196,79.7321095887804,249711052937.012,,
Bulgaria,7075947,62.9680088765738,37.0319911234262,58950125036.0127,,
Bahrain,1494074,67.4022414107659,32.5977585892341,35423643617.0213,,
"Bahamas, The",381761,41.1525546484066,58.8474453515934,12150400000,,
Bosnia and Herzegovina,3351527,57.0435900264267,42.9564099735733,18080118128.3854,,
Belarus,9498264,66.5781545217791,33.4218454782209,54726595249.1849,,
Belize,375769,58.434808885985,41.565191114015,1836600000,,
,,,,,,
Bolivia,11192854,31.8005085153227,68.1994914846773,37508642112.8799,,
Brazil,207833831,11.8046383594658,88.1953616405342,2062831045935.95,,
Barbados,286233,40.7227069104058,59.2772930895942,4978000000,,
Brunei Darussalam,424473,35.6035073472775,64.3964926527225,12128104859.1498,,
Bhutan,745568,52.7266551444763,47.2733448555237,2450364928.07302,,
Botswana,2205128,35.9321799534028,64.0678200465972,17405538618.3969,,
Central African Republic,4596028,39.8837719516938,60.1162280483062,2072350151.13061,,
Canada,36543321,33.6232145334166,66.3767854665834,1649878054226.82,,
Central Europe and the Baltics,102738653,61.0658564305206,38.9341435694794,1458696736645.45,,
Switzerland,8451840,54.4753676082932,45.5246323917068,679950482029.061,,
,,,,,,
Chile,18470439,27.2161650772848,72.7838349227152,277044950259.009,,
China,1386395000,17.9401372992739,82.0598627007261,12310408652423.5,,
Cote d'Ivoire,24437469,23.6206564444479,76.3793435555521,51588158717.5348,,
Cameroon,24566045,22.606050472436,77.393949527564,35009262788.15,,
"Congo, Dem. Rep.",81398764,39.0408574385095,60.9591425614905,38019265625.8845,,
"Congo, Rep.",5110702,62.9177990995245,37.0822009004755,9035182061.96536,,
Colombia,48901066,20.1376251940583,79.8623748059417,311883730442.045,,
Comoros,813892,28.2630424728857,71.7369575271143,1077439662.5798,,
Cabo Verde,537497,67.3803535416683,32.6196464583317,1769787215.42141,,
Costa Rica,4949954,33.0505051951401,66.9494948048599,58481858042.5721,,
,,,,69913144887.4143,,
Cuba,11339259,11.6766992596876,88.3233007403124,96851000000,,
,,,,3116610111.73184,,
,,,,5141833913.35653,,
Cyprus,1179680,73.3895414381535,26.6104585618465,22638608224.1301,,
